"","Word","Group","Speaker","Rater","Natural","Intell","vowel","cons"
"1","lani","CON","CON11","Rater1",45,98,"a","alv"
"2","lani","CON","CON11","Rater2",101,101,"a","alv"
"3","lani","CON","CON11","Rater3",101,101,"a","alv"
"4","lani","CON","CON11","Rater4",95,96,"a","alv"
"5","lani","CON","CON11","Rater5",101,99,"a","alv"
"6","lani","CON","CON11","Rater6",101,101,"a","alv"
"7","lani","CON","CON11","Rater7",89,100,"a","alv"
"8","lani","CON","CON11","Rater8",101,101,"a","alv"
"9","lani","CON","CON11","Rater9",92,101,"a","alv"
"10","lani","CON","CON11","Rater10",101,101,"a","alv"
"11","lani","CON","CON11","Rater11",50,101,"a","alv"
"12","lani","CON","CON11","Rater12",99,101,"a","alv"
"13","lani","CON","CON11","Rater13",87,101,"a","alv"
"14","lani","CON","CON11","Rater14",66,101,"a","alv"
"15","lani","CON","CON11","Rater15",93,98,"a","alv"
"16","lani","CON","CON11","Rater16",101,100,"a","alv"
"17","lani","CON","CON11","Rater17",38,71,"a","alv"
"18","lani","CON","CON11","Rater18",98,101,"a","alv"
"19","lani","CON","CON11","Rater19",1,101,"a","alv"
"20","lani","CON","CON11","Rater20",80,100,"a","alv"
"21","lani","CON","CON11","Rater21",17,84,"a","alv"
"22","lani","CON","CON11","Rater22",90,95,"a","alv"
"23","lani","CON","CON11","Rater23",84,97,"a","alv"
"24","lani","CON","CON11","Rater24",70,90,"a","alv"
"25","lani","CON","CON11","Rater25",92,88,"a","alv"
"26","lani","CON","CON11","Rater26",93,97,"a","alv"
"27","lani","CON","CON11","Rater27",91,101,"a","alv"
"28","lani","CON","CON11","Rater28",14,89,"a","alv"
"29","lani","CON","CON11","Rater29",88,94,"a","alv"
"30","lani","CON","CON11","Rater30",99,100,"a","alv"
"31","lani","CON","CON11","Rater31",32,100,"a","alv"
"32","lani","CON","CON11","Rater32",74,96,"a","alv"
"33","lani","CON","CON11","Rater33",101,101,"a","alv"
"34","lani","CON","CON11","Rater34",55,101,"a","alv"
"35","lani","CON","CON11","Rater35",74,95,"a","alv"
"36","lani","CON","CON11","Rater36",101,83,"a","alv"
"37","lani","CON","CON11","Rater37",37,95,"a","alv"
"38","lani","CON","CON11","Rater38",16,101,"a","alv"
"39","lani","CON","CON11","Rater39",29,101,"a","alv"
"40","lani","CON","CON11","Rater40",19,97,"a","alv"
"41","lani","CON","CON11","Rater41",83,99,"a","alv"
"42","lani","CON","CON02","Rater1",84,85,"a","alv"
"43","lani","CON","CON02","Rater2",76,89,"a","alv"
"44","lani","CON","CON02","Rater3",97,91,"a","alv"
"45","lani","CON","CON02","Rater4",82,90,"a","alv"
"46","lani","CON","CON02","Rater5",73,66,"a","alv"
"47","lani","CON","CON02","Rater6",101,101,"a","alv"
"48","lani","CON","CON02","Rater7",101,101,"a","alv"
"49","lani","CON","CON02","Rater8",101,101,"a","alv"
"50","lani","CON","CON02","Rater9",53,94,"a","alv"
"51","lani","CON","CON02","Rater10",83,63,"a","alv"
"52","lani","CON","CON02","Rater11",94,96,"a","alv"
"53","lani","CON","CON02","Rater12",98,98,"a","alv"
"54","lani","CON","CON02","Rater13",101,101,"a","alv"
"55","lani","CON","CON02","Rater14",97,98,"a","alv"
"56","lani","CON","CON02","Rater15",16,100,"a","alv"
"57","lani","CON","CON02","Rater16",53,99,"a","alv"
"58","lani","CON","CON02","Rater17",97,85,"a","alv"
"59","lani","CON","CON02","Rater18",100,99,"a","alv"
"60","lani","CON","CON02","Rater19",101,101,"a","alv"
"61","lani","CON","CON02","Rater20",27,47,"a","alv"
"62","lani","CON","CON02","Rater21",37,68,"a","alv"
"63","lani","CON","CON02","Rater22",76,101,"a","alv"
"64","lani","CON","CON02","Rater23",99,98,"a","alv"
